Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,13,Envy,3.2k,0.5k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,13,TSM,4.1k,0.2k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,14,Envy,14.4k,2.3k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,14,TSM,10.6k,0.2k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,15,Envy,17.9k,10.6k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,15,TSM,3.3k,9.9k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,16,Envy,22.4k,19.7k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,16,TSM,22.7k,3.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,17,Envy,24.2k,11.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,17,TSM,23.1k,4.7k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,18,Envy,24.0k,11.2k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,18,TSM,17.2k,0.3k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,19,Envy,11.1k,10.6k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,19,TSM,22.8k,6.4k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,20,Envy,23.0k,0.9k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,20,TSM,22.7k,6.1k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,21,Envy,23.7k,5.8k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,Envy vs TSM,Ascent,21,TSM,17.2k,2.0k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,1,100 Thieves,4.1k,0.3k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,1,FaZe Clan,3.7k,0.1k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,2,100 Thieves,17.6k,3.2k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,2,FaZe Clan,4.1k,6.5k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,3,100 Thieves,20.9k,5.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,3,FaZe Clan,19.5k,0.2k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,4,100 Thieves,6.2k,11.6k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,4,FaZe Clan,20.8k,6.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,5,100 Thieves,22.9k,2.2k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,5,FaZe Clan,24.0k,14.3k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,6,100 Thieves,16.7k,3.7k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,6,FaZe Clan,22.6k,16.0k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,7,100 Thieves,23.0k,11.2k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,7,FaZe Clan,21.9k,4.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,8,100 Thieves,21.8k,3.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,8,FaZe Clan,22.2k,10.9k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,9,100 Thieves,21.4k,4.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,9,FaZe Clan,18.2k,3.2k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,10,100 Thieves,21.2k,13.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,10,FaZe Clan,8.8k,9.4k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,11,100 Thieves,24.5k,13.0k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,11,FaZe Clan,22.6k,3.2k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,12,100 Thieves,22.1k,4.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,12,FaZe Clan,22.3k,5.0k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,13,100 Thieves,3.7k,0.7k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,13,FaZe Clan,3.5k,0.2k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,14,100 Thieves,17.1k,1.8k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,14,FaZe Clan,4.2k,7.7k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,15,100 Thieves,15.7k,12.1k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,15,FaZe Clan,21.3k,0.9k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,16,100 Thieves,22.4k,1.6k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,16,FaZe Clan,21.8k,6.6k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,17,100 Thieves,23.8k,4.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,17,FaZe Clan,8.2k,10.3k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,18,100 Thieves,25.6k,12.4k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,18,FaZe Clan,22.2k,2.2k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,19,100 Thieves,26.2k,16.3k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Haven,19,FaZe Clan,18.9k,0.4k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,1,100 Thieves,3.3k,0.8k,Eco: 0-5k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,1,FaZe Clan,3.8k,0.3k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,2,100 Thieves,16.9k,3.2k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,2,FaZe Clan,5.0k,7.0k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,3,100 Thieves,16.9k,14.5k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,3,FaZe Clan,19.6k,0.8k,Semi-buy: 10-20k,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,4,100 Thieves,23.9k,4.5k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,4,FaZe Clan,18.8k,2.6k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,5,100 Thieves,20.7k,4.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,5,FaZe Clan,4.5k,9.2k,Eco: 0-5k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,6,100 Thieves,21.6k,13.3k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,6,FaZe Clan,20.8k,1.9k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,7,100 Thieves,24.0k,4.0k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,7,FaZe Clan,22.7k,7.8k,Full buy: 20k+,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,8,100 Thieves,24.7k,12.8k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,8,FaZe Clan,18.6k,0.6k,Semi-buy: 10-20k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,9,100 Thieves,24.7k,18.1k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,9,FaZe Clan,6.5k,8.0k,Semi-eco: 5-10k,Loss
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,10,100 Thieves,24.9k,19.7k,Full buy: 20k+,Win
Champions Tour North America Stage 3: Challengers Playoffs,Main Event,Upper Quarterfinals,100 Thieves vs FaZe Clan,Breeze,10,FaZe Clan,23.8k,1.4k,Full buy: 20k+,Loss
