Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,11,Crazy Raccoon,24.3k,24.7k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,12,Team Vikings,16.8k,3.5k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,12,Crazy Raccoon,26.1k,16.0k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,13,Team Vikings,3.7k,0.3k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,13,Crazy Raccoon,3.3k,0.2k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,14,Team Vikings,16.0k,1.7k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,14,Crazy Raccoon,3.8k,7.1k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,15,Team Vikings,15.3k,13.9k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,15,Crazy Raccoon,21.0k,0.4k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,16,Team Vikings,22.6k,12.8k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,16,Crazy Raccoon,7.3k,8.7k,Semi-eco: 5-10k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,17,Team Vikings,23.1k,14.1k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,17,Crazy Raccoon,22.8k,1.2k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,18,Team Vikings,22.4k,18.5k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,18,Crazy Raccoon,7.9k,8.9k,Semi-eco: 5-10k,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,19,Team Vikings,23.2k,28.7k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,19,Crazy Raccoon,22.9k,0.4k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,20,Team Vikings,22.6k,16.7k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,20,Crazy Raccoon,19.8k,2.2k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,21,Team Vikings,21.8k,9.0k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Haven,21,Crazy Raccoon,22.8k,5.1k,Full buy: 20k+,Loss
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,1,FNATIC,2.7k,0.9k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,1,Cloud9,3.6k,0.4k,Eco: 0-5k,Win
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,2,FNATIC,0.8k,10.0k,Eco: 0-5k,Loss
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,2,Cloud9,17.1k,1.1k,Semi-buy: 10-20k,Win
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,3,FNATIC,22.1k,0.5k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,3,Cloud9,17.8k,12.1k,Semi-buy: 10-20k,Loss
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,4,FNATIC,21.2k,7.1k,Full buy: 20k+,Win
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,Icebox,4,Cloud9,22.2k,5.6k,Full buy: 20k+,Loss
